MDAMB231,U87,PC3M,WM266.4,RPE,BJ,Protein,,,
NaN,-0.475206,-0.483854,-0.669739,-0.553963,-0.79195,ATP13A1,,,
-1.19324,-0.191152,-0.388318,-0.389762,-0.570906,-0.844474,TMTC3,,,
-0.850634,-0.361746,-0.585963,-0.645032,-0.573754,-0.561484,OSBPL8,,,
-0.747267,-0.176008,-0.949551,-0.826051,-0.320773,-0.559155,STX10,,,
NaN,-0.520897,-0.741812,-0.554167,-0.866636,-0.301941,NAA16,,,
NaN,-0.249453,-0.532184,-0.610148,-0.962584,-0.632857,NFYB,,,
NaN,-0.217982,-0.671803,-0.476827,-0.951196,-0.673787,GCC2,,,
NaN,-0.599916,-0.918295,-0.808441,-0.327519,-0.338931,ATP6AP2,,,
-0.0136862,-0.601373,-0.528399,-0.725674,-0.889328,-0.833905,DNAAF5,,,
NaN,-0.233764,-0.441529,-0.392444,-0.900355,-1.02678,EML1,,,
NaN,-0.177829,-0.488412,-0.876101,-0.504422,-0.94882,CANT1,,,
-1.08791,-0.438207,-0.48764,-0.461338,-0.47968,-0.641795,DEGS1,,,
-1.02342,-0.550114,-0.355573,-0.647083,-0.303699,-0.72313,TBL2,,,
-0.543564,-0.250671,-0.516859,-0.60586,-0.667233,-1.02144,UBE4A,,,
NaN,-0.166575,-0.558227,-0.798671,-0.855367,-0.62758,KCNMA1,,,
-0.319916,-0.372131,-0.58818,-0.33112,-0.839126,-1.15892,RAB27B,,,
-0.693228,-0.480066,-0.102904,-0.679914,-0.703667,-0.951646,ARL6IP5,,,
-0.325983,-0.475354,-0.511271,-0.791763,-0.405319,-1.10409,RTN4,,,
-0.289667,-0.514935,-0.876719,-0.616882,-0.617722,-0.703442,GPI,,,
NaN,-0.497223,-0.741512,-0.6932,-0.689136,-0.396155,BMS1,,,
-0.0740311,-0.902113,-0.324388,-0.913703,-1.09013,-0.318792,TTI1,,,
NaN,-0.610128,-0.92214,-0.982512,-0.235392,-0.269943,COX7C,,,
-0.833191,-0.407459,-0.248329,-0.582206,-0.531276,-1.02996,MBOAT7,,,
NaN,-0.526169,-0.730505,-0.795115,-0.152959,-0.823903,PTPRS,,,
-1.4433,-0.527677,-0.241498,-0.380628,-0.462996,-0.581606,AK3,,,
-0.927986,-0.255029,-0.81489,-0.629601,-0.118637,-0.892172,RAB1A,,,
NaN,-0.433887,-0.532246,-0.945627,-0.627609,-0.49588,MBD1,,,
-0.883034,-0.246059,-0.764692,-0.71077,-0.194459,-0.844027,DDRGK1,,,
-1.43516,-0.353478,-0.48275,-0.425593,-0.367718,-0.5952,GOLT1B,,,
NaN,-0.803316,-0.420173,-0.695744,-0.396637,-0.734522,GOLIM4,,,
NaN,-0.283869,-0.599354,-0.601964,-0.781641,-0.800474,IFRD2,,,
NaN,-0.617056,-0.740943,-0.916224,-0.217562,-0.581611,SURF6,,,
-0.666245,-0.47609,-0.814311,-0.551516,-0.332184,-0.848463,EIF3L,,,
NaN,-0.861233,-0.376133,-0.826471,-0.43677,-0.576353,CLCC1,,,
NaN,-0.632813,-0.428447,-0.60546,-0.495598,-0.919467,TP53BP1,,,
-0.503063,-0.387499,-0.497289,-0.865754,-0.673767,-0.778593,PI4K2A,,,
NaN,-0.510093,-0.993713,-0.840734,-0.37306,-0.375463,CMSS1,,,
NaN,-0.586008,-0.578264,-0.672071,-0.231311,-1.03577,DOCK6,,,
NaN,-0.825678,-0.579938,-0.578135,-0.473431,-0.653289,LPCAT4,,,
-0.374569,-0.482656,-0.676442,-0.885705,-0.40601,-0.908107,KDSR,,,
-1.25841,-0.365088,-0.596697,-0.841842,-0.207127,-0.46435,PRPF40A,,,
NaN,-0.255297,-0.643927,-0.873456,-0.438025,-0.906485,FAM208A,,,
NaN,-0.6127,-0.864801,-0.782522,-0.45884,-0.403491,NOL7,,,
NaN,-0.619006,-0.520899,-0.575981,-0.770802,-0.63942,PDK1,,,
-1.40331,-0.302623,-0.327498,-0.623124,-0.485825,-0.611138,MRPL40,,,
NaN,-0.741711,-0.836102,-0.562523,-0.305051,-0.682711,GOLPH3L,,,
0.0785621,-0.528893,-0.618134,-0.796116,-0.863209,-1.03762,RPLP0,,,
-0.32331,-0.657469,-0.56972,-0.873603,-0.581095,-0.772032,RMDN3,,,
NaN,-0.192745,-0.709941,-0.990469,-0.32805,-0.926727,ATP6AP1,,,
-1.14578,-0.563972,-0.379083,-0.643678,-0.744827,-0.313437,SCAF4,,,
-1.16721,-0.408086,-0.872615,-0.636438,-0.292731,-0.423417,TBL3,,,
NaN,-0.545225,-0.680604,-0.739559,-0.714135,-0.495214,PDCD11,,,
-0.721442,-0.333101,-0.689153,-0.927593,-0.336994,-0.804308,IVD,,,
-0.690211,-0.455757,-0.40966,-0.537239,-0.785221,-0.935227,SCFD2,,,
-0.06812,-0.734038,-0.882469,-1.00572,-0.407318,-0.718239,DDX5,,,
-0.814692,-0.390441,-0.663261,-0.71298,-0.256979,-0.980728,RAB7A,,,
NaN,-0.768703,-0.375208,-0.495898,-0.799133,-0.74641,POLR3A,,,
-1.46376,-0.4327,-0.815943,-0.51224,-0.187531,-0.412519,KRR1,,,
NaN,-0.515619,-0.541844,-0.766348,-0.216427,-1.14849,PLCD3,,,
NaN,-0.366193,-0.936265,-0.310982,-0.652717,-0.927763,MRPL16,,,
NaN,-0.577739,-0.572937,-1.00474,-0.478111,-0.562144,RRP7A,,,
-0.52898,-0.449283,-0.915247,-0.41675,-0.663095,-0.863634,CAND1,,,
-0.834061,-0.337677,-0.912054,-0.562216,-0.581054,-0.614638,SEC24C,,,
-1.40217,-0.608058,-0.486182,-0.547142,-0.398962,-0.399386,DDX24,,,
-0.820261,-0.716534,-0.575526,-1.06393,-0.53171,-0.137142,DDX55,,,
-1.05347,-0.341507,-0.43386,-0.755859,-0.497609,-0.765901,SRPR,,,
NaN,-0.693972,-0.634504,-0.207146,-0.984712,-0.692367,FLAD1,,,
-0.213746,-0.973157,-0.3983,-0.607921,-0.961217,-0.703807,LAMP2,,,
NaN,-0.687054,-0.88832,-0.918074,-0.373417,-0.367036,HMGXB4,,,
-1.33485,-0.401797,-0.2749,-0.71734,-0.445194,-0.710609,SCARB2,,,
-1.17072,-0.223023,-0.625457,-0.953476,-0.300523,-0.614505,MRPS9,,,
NaN,-0.369528,-0.903448,-0.843375,-0.303414,-0.82245,RCL1,,,
-1.05511,-0.653526,-0.264771,-0.657343,-0.858259,-0.403366,BTAF1,,,
NaN,-0.255463,-0.503535,-1.06703,-0.77384,-0.649678,DHODH,,,
-0.313717,-0.790433,-0.374704,-0.238336,-1.33909,-0.844415,SOD2,,,
-0.459513,-0.672341,-1.05721,-0.460955,-0.305012,-0.951015,IPO7,,,
-0.812201,-0.477029,-0.645632,-0.781435,-0.60952,-0.580546,CLPTM1L,,,
-1.24,-0.341184,-0.692244,-0.842266,-0.0550804,-0.736099,GLS,,,
NaN,-0.351937,-0.677623,-0.768242,-0.489812,-0.970489,STX18,,,
-1.19353,-0.588109,-0.282873,-0.736036,-0.658097,-0.45503,SFXN3,,,
-1.15771,-0.338445,-0.741075,-0.754466,-0.47518,-0.450501,NUP98,,,
-1.40465,-0.349686,-0.682405,-0.549867,-0.385839,-0.54611,WDR82,,,
-1.08893,-0.217869,-0.801249,-0.857511,-0.211832,-0.745107,BNIP1,,,
-0.610169,-0.877257,-0.476493,-1.19207,-0.516267,-0.252204,APOBEC3B,,,
-1.43887,-0.19666,-0.726793,-0.411888,-0.40707,-0.745724,RPL6,,,
-0.278347,-0.673667,-0.548153,-0.637897,-0.722843,-1.0678,COPB1,,,
-1.34389,-0.57193,-0.615364,-0.652874,-0.340389,-0.405211,OCIAD1,,,
-0.662241,-0.92212,-0.684214,-0.114891,-0.918375,-0.630057,PYCRL,,,
NaN,-0.272693,-0.560178,-0.485481,-0.962364,-0.998742,PDPK1,,,
-1.23287,-0.192574,-0.872957,-0.347235,-0.427058,-0.867837,RPL18,,,
-0.634028,-0.517974,-0.458085,-0.908236,-0.425186,-0.998388,CDIPT,,,
NaN,-0.577539,-0.789532,-0.388405,-0.896296,-0.633567,HAUS4,,,
NaN,-0.402977,-0.348286,-0.626508,-0.88945,-1.02171,USP48,,,
NaN,-0.310486,-0.700579,-1.13902,-0.476704,-0.665263,YIPF6,,,
NaN,-0.467479,-0.974196,-0.723037,-0.604582,-0.523192,FASTKD2,,,
NaN,-0.487137,-0.699569,-0.175355,-1.07837,-0.854348,DNAL1,,,
-0.877941,-0.704725,-0.764176,-0.444182,-0.522715,-0.641386,HSDL2,,,
-0.787715,-0.646497,-0.923972,-0.785133,-0.423314,-0.389231,RDH11,,,
NaN,-1.06213,-0.877316,-0.771307,-0.130726,-0.46011,SHCBP1,,,
-1.29361,-0.53007,-0.85104,-0.70531,-0.091341,-0.496373,VAPB,,,
-0.875823,-0.692221,-1.02466,-1.0274,-0.149684,-0.201828,RRP1,,,
-1.35066,-0.38308,-0.712431,-0.504177,-0.298992,-0.729385,DDB1,,,
-0.725645,-0.563008,-0.0287848,-0.649362,-0.770593,-1.25035,SEC24D,,,
-0.689835,-0.520345,-1.0768,-0.719535,-0.329633,-0.652389,LPCAT1,,,
-0.622118,-0.275343,-0.885563,-0.733932,-0.546891,-0.928412,ATL3,,,
-1.02553,-0.273218,-0.695304,-1.00091,-0.257009,-0.743651,YME1L1,,,
NaN,-0.670449,-0.611486,-0.349475,-0.839135,-0.85957,RBBP9,,,
NaN,-1.03067,-0.876349,-0.680829,-0.48075,-0.267254,NAA35,,,
NaN,-0.441307,-0.285841,-0.887522,-0.591434,-1.13326,INTS12,,,
-0.0930461,-0.612189,-0.897588,-0.580156,-0.894833,-0.929424,CAB39,,,
-0.841329,-0.391093,-1.12528,-0.62361,-0.406633,-0.624821,PMPCB,,,
NaN,-0.593903,-0.430071,-0.373289,-0.740894,-1.21051,UBXN2A,,,
-0.367608,-0.746974,-0.882269,-0.378536,-0.732653,-0.916611,LDHA,,,
-0.987266,-0.0513115,-1.07601,-0.628222,-0.359625,-0.93862,XPO4,,,
NaN,-0.530935,-0.195262,-0.62694,-0.862807,-1.15339,Mar-05,,,
-1.41244,-0.262799,-0.724155,-0.924603,-0.271399,-0.448968,RNF5,,,
-1.21008,-0.384989,-0.371998,-0.789366,-0.444038,-0.847898,NOMO1,,,
NaN,-0.60975,-0.623979,-0.838326,-0.793518,-0.509673,THNSL1,,,
-1.04843,-0.744278,-0.645515,-0.581082,-0.599299,-0.434763,CHERP,,,
-0.598688,-0.501313,-0.695862,-0.699478,-0.522516,-1.03727,ESYT1,,,
-1.07925,-0.589253,-0.185713,-0.867833,-0.667005,-0.671721,ERLIN1,,,
-1.13482,-0.727525,-0.151829,-0.853799,-0.737198,-0.456488,HSD17B11,,,
NaN,-0.494614,-0.714211,-0.993996,-0.382847,-0.80251,PCCA,,,
-0.0752991,-0.602841,-0.829179,-0.623036,-0.869354,-1.06653,FAM91A1,,,
NaN,-1.07427,-0.734913,-0.187313,-0.582933,-0.814328,MGAT1,,,
NaN,-0.651111,-0.914716,-0.766625,-0.461464,-0.605314,PWP2,,,
NaN,-0.775287,-0.726424,-0.0238972,-0.918394,-0.957851,HLCS,,,
NaN,-0.417387,-0.977753,-0.340961,-0.864213,-0.805995,PRUNE,,,
-1.37495,-0.42037,-0.893722,-0.508927,-0.423812,-0.465946,PMPCA,,,
-1.03521,-0.416013,-0.769305,-0.995395,-0.342825,-0.533173,NDUFS3,,,
NaN,-0.493875,-0.941742,-0.774315,-0.452124,-0.748103,PTDSS1,,,
-1.45026,-0.44068,-0.171775,-0.470564,-0.917777,-0.645831,ZFPL1,,,
-0.481035,-0.601726,-0.933784,-0.837217,-0.187412,-1.06566,GOLPH3,,,
NaN,-0.522921,-0.39269,-1.01105,-0.531985,-0.966629,ALG5,,,
-0.641695,-0.573315,-0.791777,-0.428185,-0.720068,-0.956444,PSMB3,,,
-1.63606,-0.455325,-0.342245,-0.605937,-0.570386,-0.502102,DAP3,,,
NaN,-0.555793,-0.58691,-0.837023,-0.687037,-0.760519,RNASEH2B,,,
-1.32126,-0.533281,0.041585,-0.809577,-0.690611,-0.805795,GOLGA2,,,
NaN,-0.580026,-0.589022,-0.957515,-0.484047,-0.829171,MSI2,,,
-1.05644,-0.497096,0.0394936,-0.702272,-1.13802,-0.798306,ABHD12,,,
-0.463064,-0.627732,-0.778063,-0.79266,-0.527287,-0.966216,EIF3E,,,
-0.215768,-0.766615,-0.607265,-1.14777,-0.697023,-0.726491,RBM15,,,
NaN,-0.944132,-0.27415,-0.674154,-0.852081,-0.728404,SUGP2,,,
-0.841051,-0.635459,-0.834476,-0.462267,-0.444542,-0.950069,SETD3,,,
-0.320323,-0.733745,-1.35316,-0.589694,-0.620167,-0.559179,DIMT1,,,
NaN,-0.4185,-0.747618,-0.225531,-1.04887,-1.05425,AFTPH,,,
-0.911319,-0.601998,-0.573883,-0.936049,-0.428607,-0.742908,IMP4,,,
NaN,-0.342348,-1.00042,-0.699323,-1.18817,-0.273651,CLCN3,,,
-1.44061,-0.64424,-0.653095,-0.588766,-0.415974,-0.46237,HK2,,,
NaN,-0.661404,-0.173459,-0.617663,-1.0886,-0.965889,FBXO3,,,
NaN,-0.662624,-0.565783,-0.589494,-0.916089,-0.775712,ASCC2,,,
NaN,-0.401793,-0.767507,-0.753506,-0.655442,-0.937189,ABCB10,,,
-1.4249,-0.607466,-0.607076,-0.548149,-0.424685,-0.610372,DDX56,,,
-1.1277,-0.375401,-0.422871,-0.759645,-0.923871,-0.620178,MRPL41,,,
NaN,-0.565173,-0.613042,-0.777894,-0.8329,-0.739842,OPA3,,,
NaN,-0.942071,-0.534966,-0.869515,-0.529699,-0.660414,NIPBL,,,
NaN,-0.868864,-0.509813,-0.826658,-0.49816,-0.835457,TM9SF2,,,
NaN,-0.644689,-0.457159,-1.23286,-0.65578,-0.549765,SPCS1,,,
-1.11833,-0.631086,-0.699406,-0.650685,-0.672239,-0.481287,ANAPC7,,,
-1.04983,-0.658628,-1.16228,-0.592061,-0.318079,-0.475355,C6orf11,,,
NaN,-0.443569,-0.695535,-0.846563,-0.617686,-0.945174,ACADSB,,,
-1.11826,-0.7011,-0.142475,-0.769213,-0.511396,-1.01767,COMT,,,
-1.1981,-0.350379,-0.413294,-0.903274,-0.571712,-0.829937,SPCS2,,,
-0.829949,-0.763224,-0.885861,-0.719851,-0.387662,-0.689553,TNPO3,,,
NaN,-0.444066,-0.559065,-0.735139,-0.671569,-1.16147,TMEM245,,,
-1.06154,-0.235491,-1.28783,-0.91736,-0.524231,-0.263667,RDH13,,,
-1.14837,-0.637328,-0.777334,-0.61705,-0.483858,-0.630143,PGRMC1,,,
NaN,-0.57375,-0.682347,-0.59724,-0.764487,-0.96746,MAN1B1,,,
NaN,-0.592587,-0.534098,-0.857676,-0.551442,-1.05044,PDXDC1,,,
NaN,-0.614297,-0.632965,-0.731799,-1.03237,-0.581729,COX15,,,
-1.28538,-0.48222,-0.539642,-0.733155,-0.725559,-0.568133,MRPL15,,,
-1.16391,-0.736332,-0.705328,-0.922262,-0.257413,-0.550205,HAT1,,,
NaN,-0.879601,-0.502479,-0.893865,-1.20454,-0.133917,ZGPAT,,,
-1.15117,-0.488721,-0.413385,-0.709559,-1.07924,-0.498599,MFSD10,,,
NaN,-0.635989,-0.658117,-1.11016,-0.462988,-0.750528,SLC35B2,,,
-0.819741,-0.321534,-1.24968,-0.546202,-0.501857,-0.903985,TNPO2,,,
-0.858786,-0.368675,-0.936797,-0.927186,-0.308562,-0.943291,SACM1L,,,
-1.36805,-0.409018,-0.619227,-0.460538,-0.574656,-0.921189,LAMTOR1,,,
-1.12368,-0.615313,-0.596815,-0.885584,-0.768776,-0.363459,ACSL1,,,
-1.21491,-0.75899,-0.42572,-0.700512,-0.407689,-0.848607,RER1,,,
NaN,-0.754889,-0.561289,-0.945658,-0.612596,-0.758962,ATXN2,,,
-1.30131,-0.469069,-0.981663,-0.876412,-0.357594,-0.380174,OPA1,,,
-1.20352,-0.43261,-0.717181,-0.61894,-0.610488,-0.783674,RDH14,,,
NaN,-0.584535,-0.567183,-0.935611,-0.665803,-0.885781,hCG_1984214,,,
-0.227845,-0.839137,-0.558928,-0.861176,-0.864127,-1.01826,KPNA3,,,
NaN,-0.890719,-0.560548,-1.13979,-0.342731,-0.708288,POLR1B,,,
NaN,-0.371619,-0.907928,-0.538985,-0.775036,-1.04917,SLC1A3,,,
-0.585842,-0.604614,-1.20512,-0.577537,-0.668341,-0.736406,TOR1A,,,
-1.54874,-0.266803,-0.952657,-0.943544,-0.403769,-0.266108,AFG3L2,,,
-0.438055,-0.767668,-1.02959,-0.587461,-0.931483,-0.631788,RPL27A,,,
NaN,-0.223893,-1.07085,-1.03028,-0.460574,-0.880188,MFN2,,,
NaN,-0.524935,-0.708194,-0.786604,-0.922335,-0.727704,WDR75,,,
NaN,-0.88067,-0.595428,-0.95087,-0.695934,-0.55498,VPS72,,,
NaN,-0.34339,-1.1839,-1.10068,-0.443151,-0.610282,NDUFAF4,,,
-1.6313,-0.539142,-0.233988,-0.724946,-0.440845,-0.84921,RABAC1,,,
-0.604662,-0.747615,-0.751526,-0.53933,-0.805364,-0.971476,TRIP11,,,
NaN,-0.569549,-0.907148,-1.04992,-0.391505,-0.766256,MPHOSPH10,,,
-1.54998,-0.486972,-0.567569,-0.687472,-0.933341,-0.196824,RHOT1,,,
NaN,-0.561722,-0.723762,-1.06214,-0.37327,-0.965942,C18orf32,,,
NaN,-0.860429,-0.86532,-0.99614,-0.58422,-0.380893,NCOR2,,,
-1.44437,-0.644139,-0.673908,-0.926462,-0.323275,-0.416995,TECR,,,
-1.45369,-0.305524,-0.800919,-0.989067,-0.217182,-0.663857,ATP5A1,,,
-0.960284,-0.384878,-0.526149,-0.590086,-1.03694,-0.939342,FBXL18,,,
NaN,-0.532912,-1.0316,-0.915157,-0.553125,-0.665802,NOC4L,,,
-0.700827,-0.647201,-0.552124,-1.03576,-0.534861,-0.974995,CANX,,,
-1.54573,-0.450625,-0.256622,-0.656796,-0.686979,-0.856116,GLG1,,,
NaN,-0.472319,-1.1308,-1.04617,-0.591933,-0.478471,DNAJA3,,,
NaN,-0.465855,-0.319285,-0.713236,-1.02821,-1.20095,FAM134C,,,
NaN,-0.689846,-0.296811,-0.839164,-1.00314,-0.90455,LANCL2,,,
-1.33918,-0.451904,-1.33312,-0.870561,-0.0999985,-0.389616,DERL1,,,
-0.687959,-0.556693,-0.744557,-0.762014,-0.525898,-1.20774,USO1,,,
-0.278072,-0.612632,-0.905668,-0.8953,-0.725344,-1.07077,RPL7,,,
NaN,-0.702207,-0.746533,-1.02296,-0.657399,-0.623187,TMEM209,,,
-0.930472,-0.4034,-1.00069,-0.411688,-0.995214,-0.761374,SGPL1,,,
-1.20128,-0.568013,-0.397708,-0.926358,-0.852294,-0.558325,SCCPDH,,,
-0.778352,-0.621238,-0.304289,-0.844133,-0.741388,-1.21698,CYB5R3,,,
NaN,-1.06147,-0.633527,-0.840694,-0.888932,-0.333136,KIF23,,,
-0.27308,-1.21705,-0.0213957,-1.30754,-0.70274,-0.99214,GSTM1,,,
NaN,-0.525215,-0.915897,-0.863585,-0.899002,-0.563437,CPT2,,,
-1.24919,-0.576612,-0.653393,-0.769554,-0.561741,-0.718542,EMC4,,,
-0.961035,-0.522382,-0.698063,-1.21559,-0.494993,-0.656935,AIFM1,,,
-1.06743,-0.555403,-1.22024,-0.990868,-0.649007,-0.0669289,LBR,,,
-0.941423,-0.939896,-0.220484,-0.833408,-0.825075,-0.78962,CPSF3,,,
NaN,-0.643778,-0.599041,-1.18983,-0.425864,-0.933141,EMC10,,,
NaN,-0.902617,-0.723854,-0.806417,-1.04049,-0.319939,UBR5,,,
-1.32895,-0.388762,-0.711205,-0.844197,-0.455829,-0.832092,PGRMC2,,,
-0.788452,-0.524293,-0.971081,-0.567848,-0.656454,-1.05525,TNPO1,,,
NaN,-0.372524,-0.776669,-0.386102,-1.08355,-1.1882,STOM,,,
-1.52719,-0.561011,-0.706902,-0.517621,-0.587745,-0.668439,CSTF3,,,
-0.736511,-1.01165,-0.670361,-0.43342,-1.16879,-0.563801,NCEH1,,,
-0.29687,-0.473929,-0.575668,-1.10585,-0.676069,-1.45636,ATP6V0D1,,,
NaN,-0.715532,-0.842809,-0.975848,-0.702258,-0.591356,RRP8,,,
-0.491983,-0.810792,-0.789454,-0.618289,-0.755472,-1.13539,COPS6,,,
-0.348275,-0.913554,-0.677469,-1.14053,-0.685068,-0.836502,HNRNPU,,,
-0.191826,-0.919449,-0.781113,-0.802773,-0.982715,-0.926585,EIF3M,,,
-0.789639,-0.585264,-0.512322,-0.82065,-0.980256,-0.916747,SDHB,,,
NaN,-0.630859,-0.504766,-0.95787,-0.982626,-0.762975,NAT14,,,
-1.44523,-0.468163,-0.752945,-0.806935,-0.605667,-0.530898,ALDH1B1,,,
-0.623797,-0.551677,-0.810419,-1.09682,-0.591192,-0.936858,ACSL3,,,
-0.550369,-0.56273,-1.0241,-0.763437,-0.677383,-1.03515,ATP2A2,,,
-1.72519,-0.428,-0.803956,-0.804614,-0.589657,-0.269727,SIGMAR1,,,
-1.17989,-0.394258,-0.715467,-0.521879,-0.883127,-0.929148,RHOT2,,,
NaN,-0.748503,-0.433242,-0.845249,-1.28289,-0.54409,CSNK1G3,,,
-0.746602,-0.75149,-0.941113,-1.06074,-0.402702,-0.722314,SRSF10,,,
-1.16581,-0.593566,-0.668708,-0.843177,-0.450722,-0.913403,TMEM43,,,
NaN,-0.504836,-0.903461,-1.26022,-0.394255,-0.828904,SELK,,,
NaN,-0.911209,-0.704498,-0.653844,-0.44961,-1.17639,ATG4B,,,
NaN,-0.881155,-0.254112,-0.705639,-1.24942,-0.822983,ICMT,,,
-0.39029,-0.562161,-1.10323,-1.23003,-0.502362,-0.913804,CYP51A1,,,
-1.24722,-0.545571,-0.812697,-0.881053,-0.449368,-0.778407,TRA2A,,,
-0.831856,-0.606372,-0.726606,-0.608973,-0.887928,-1.06592,ASPH,,,
-1.80209,-0.506304,-0.740751,-0.974436,-0.190757,-0.520502,PRIM2,,,
-1.84756,-0.609282,-0.47065,-0.886368,-0.370897,-0.571652,CDC73,,,
-0.446009,-0.890815,-0.876658,-1.05877,-0.859831,-0.633164,NHP2L1,,,
NaN,-0.624561,-0.700736,-0.491273,-1.14968,-1.01106,DNAJB14,,,
NaN,-0.74595,-0.403762,-1.37117,-0.61562,-0.841888,RNPS1,,,
NaN,-0.656193,-0.483032,-1.16927,-0.948354,-0.724333,NDUFA11,,,
NaN,-0.509847,-1.39778,-1.12261,-0.492317,-0.471304,DERL2,,,
-0.669619,-1.09323,-0.265101,-1.49292,-0.782413,-0.493998,SOAT1,,,
NaN,-0.771216,-0.471251,-0.696118,-1.16701,-0.895531,PCDH7,,,
-1.47557,-0.646674,-1.06617,-0.639452,-0.327433,-0.654875,CSE1L,,,
-1.33995,-0.550303,-1.03655,-0.788694,-0.663725,-0.431698,HCCS,,,
NaN,-0.611908,-1.2135,-0.837952,-0.701783,-0.659781,NDC1,,,
NaN,-1.17382,-0.359495,-0.579146,-0.950208,-0.96893,ZDHHC13,,,
-0.943259,-0.791471,-0.635191,-0.800225,-0.585762,-1.08609,ZMPSTE24,,,
-1.69481,-0.475035,-0.903891,-0.915987,-0.315757,-0.542812,NOL11,,,
-1.24343,-0.505877,-0.796762,-0.930565,-0.44083,-0.931313,GPD2,,,
NaN,-0.700078,-0.824636,-1.18817,-0.752859,-0.585828,AHCTF1,,,
-0.348275,-1.0199,-1.2483,-1.03641,-0.479403,-0.738747,HNRNPU,,,
NaN,-0.511706,-1.01674,-0.193336,-0.945719,-1.39588,WWP2,,,
-1.05907,-0.649902,-0.855265,-0.610836,-0.67742,-1.02512,ERGIC1,,,
-1.1014,-0.574651,-0.626404,-1.14014,-0.574844,-0.8829,HADHB,,,
-1.30402,-0.590744,-0.520428,-0.998695,-0.599523,-0.902556,NCLN,,,
NaN,-0.886859,-0.253046,-1.0137,-0.977057,-0.970608,FAM20B,,,
NaN,-0.955597,-0.883302,-0.548088,-0.88927,-0.82597,DNAJC11,,,
NaN,-0.89607,-0.241537,-1.08264,-0.724199,-1.15874,BET1L,,,
NaN,-0.769542,-0.901624,-1.18181,-0.528921,-0.735385,UBE2G2,,,
NaN,-0.804852,-1.09255,-0.784855,-1.00641,-0.429845,OXA1L,,,
NaN,-0.740178,-1.09628,-0.954131,-0.651652,-0.680979,DDX54,,,
-1.71003,-0.540355,-0.694359,-0.861268,-0.507215,-0.64042,PRPF6,,,
-0.851599,-0.803259,-0.777156,-0.931474,-0.784245,-0.807928,SAP18,,,
-1.87332,-0.607414,-0.659504,-0.789348,-0.479486,-0.553974,HDAC2,,,
NaN,-0.906939,-0.329267,-0.773289,-1.20378,-0.928865,COG3,,,
NaN,-0.469321,-0.503401,-0.998903,-1.47773,-0.694852,SMC5,,,
NaN,-0.345018,-0.900517,-1.17863,-0.759461,-0.970541,GOLGA5,,,
NaN,-0.923081,-0.716012,-0.79425,-0.52524,-1.19734,B4GAT1,,,
NaN,-0.220993,-0.928651,-1.00334,-1.10793,-0.89546,CDK5RAP2,,,
-0.855908,-0.310065,-0.556376,-1.09066,-1.28927,-0.885667,TMX4,,,
NaN,-0.459919,-0.712637,-1.06031,-0.898767,-1.04364,NGEF,,,
NaN,-0.279965,-0.83595,-1.14817,-1.29341,-0.620872,SCAI,,,
-0.946887,-0.538589,-0.984278,-1.13529,-0.458963,-0.961097,NDUFA10,,,
-1.40983,-0.687541,-0.754444,-1.13244,-0.364508,-0.676392,HNRNPR,,,
-0.586722,-0.624977,-0.531335,-0.921,-1.26916,-1.09446,SEC24A,,,
-0.993958,-0.592688,-0.622833,-0.98455,-0.881311,-0.953818,MOGS,,,
-1.05543,-0.454534,-0.480494,-1.14002,-0.79319,-1.10601,APMAP,,,
NaN,-0.565143,-1.0024,-0.535971,-0.927383,-1.16687,COG1,,,
-1.28842,-0.429152,-0.959704,-0.854574,-0.345845,-1.16229,TMEM41B,,,
NaN,-0.686116,-0.617191,-0.978779,-0.938591,-0.981391,CPS1,,,
NaN,-0.945025,-0.767978,-0.476789,-0.536499,-1.48185,PDZD2,,,
-0.388592,-1.0034,-1.10394,-1.05907,-0.600518,-0.903909,PPP2R4,,,
NaN,-0.528094,-0.978718,-1.16982,-0.486066,-1.05608,USE1,,,
NaN,-0.948413,-0.573168,-1.33457,-0.85178,-0.511611,BAZ1B,,,
-1.7615,-0.884895,-1.08771,-0.808821,-0.478887,-0.0460758,CDK9,,,
-1.27124,-0.695428,-0.621707,-1.22692,-0.485259,-0.780766,EMC7,,,
-1.17866,-0.79191,-0.528872,-0.909508,-0.732058,-0.940421,DHRS7B,,,
-1.16215,-0.558752,-1.50077,-0.241561,-0.651671,-0.967571,VAPA,,,
-1.6392,-0.230596,-0.185388,-1.18386,-0.710064,-1.14565,IKBIP,,,
-1.22386,-0.678699,-0.886409,-0.490232,-0.892202,-0.923708,RPL15,,,
-1.83308,-0.583452,-0.344406,-0.761133,-0.895045,-0.688833,H1FX,,,
-0.897648,-0.469494,-0.68515,-1.15952,-0.82156,-1.08409,TMX3,,,
-1.44895,-0.428722,-1.39914,-1.06011,-0.263639,-0.520576,GATAD2B,,,
-0.84771,-0.710877,-0.818144,-0.889972,-0.864883,-1.00233,MRPL37,,,
-1.41641,-0.693696,-0.248665,-1.04522,-0.634844,-1.09799,RPN1,,,
NaN,-1.07955,-0.898474,-0.715775,-0.620177,-0.992702,GSTCD,,,
NaN,-0.96709,-1.18717,-1.08583,-0.492513,-0.575124,MMTAG2,,,
-1.80119,-0.703624,-0.677423,-0.743722,-0.747868,-0.501272,U2SURP,,,
